symbol,sector,close,high,low,p,r1,r2,r3,r4,r5,s1,s2,s3,s4,s5,opening_high,opening_low,breaking_level,breaking_type,timestamp,breakout_timestamp,status
GODREJCP,Fast Moving Consumer Goods,1250.0,1252.3,1247.4,1230.9333333333334,1247.8666666666668,1264.3333333333335,1281.2666666666669,1298.2000000000003,1315.1333333333337,1214.4666666666667,1197.5333333333333,1181.0666666666666,1164.6,1148.1333333333332,1237.4,1231.5,R1,Long,2025-04-23T10:10:00+05:30,2025-04-23T09:40:00+05:30,Confirmed
UNITDSPR,Fast Moving Consumer Goods,1566.4,1570.2,1565.9,1544.7666666666664,1572.8333333333328,1588.0666666666664,1616.1333333333328,1644.199999999999,1672.2666666666655,1529.5333333333328,1501.4666666666665,1486.233333333333,1470.999999999999,1455.7666666666655,1560.0,1553.0,-,-,2025-04-23T10:10:00+05:30,-,-
LT,Construction,3289.2,3295.0,3287.1,3263.6,3279.2,3300.6,3316.2,3331.7999999999993,3347.3999999999996,3242.2,3226.6,3205.2,3183.7999999999993,3162.3999999999996,3285.0,3269.7,R1,Long,2025-04-23T10:10:00+05:30,2025-04-23T10:10:00+05:30,Confirmed
ALKEM,Healthcare,5099.3,5105.9,5095.8,5025.766666666667,5062.833333333335,5112.0666666666675,5149.133333333335,5186.200000000004,5223.26666666667,4976.533333333335,4939.466666666667,4890.2333333333345,4841.000000000004,4791.76666666667,5064.9,5020.0,R1,Long,2025-04-23T10:10:00+05:30,2025-04-23T09:25:00+05:30,Confirmed
YESBANK,Financial Services,18.38,18.41,18.38,18.77333333333333,18.90666666666666,19.123333333333328,19.256666666666657,19.389999999999986,19.523333333333312,18.55666666666666,18.423333333333332,18.206666666666663,17.989999999999995,17.773333333333326,18.82,18.6,S2,Short,2025-04-23T10:10:00+05:30,2025-04-23T10:10:00+05:30,Confirmed
AMBUJACEM,Construction Materials,571.65,571.9,570.35,579.2666666666668,583.4333333333335,588.9666666666667,593.1333333333334,597.3,601.4666666666669,573.7333333333336,569.5666666666668,564.0333333333336,558.5000000000005,552.9666666666672,582.9,578.55,S1,Short,2025-04-23T10:10:00+05:30,2025-04-23T10:10:00+05:30,Confirmed
ADANIPORTS,Services,1223.3,1224.0,1221.0,1238.6000000000001,1250.2000000000003,1267.2,1278.8000000000002,1290.4,1302.0000000000005,1221.6000000000004,1210.0000000000002,1193.0000000000005,1176.0000000000005,1159.000000000001,1241.9,1230.1,-,-,2025-04-23T10:10:00+05:30,-,-
NMDC,Metals & Mining,66.69,66.71,66.56,68.07,68.53999999999999,69.12,69.59,70.06,70.53,67.48999999999998,67.01999999999998,66.43999999999997,65.85999999999996,65.27999999999994,68.5,68.11,S2,Short,2025-04-23T10:10:00+05:30,2025-04-23T10:00:00+05:30,Confirmed
RECLTD,Financial Services,438.3,438.75,437.55,441.0333333333333,445.3666666666666,450.3333333333333,454.66666666666663,459.0,463.33333333333326,436.0666666666666,431.7333333333333,426.7666666666666,421.79999999999995,416.83333333333326,448.0,440.35,-,-,2025-04-23T10:10:00+05:30,-,-
ITC,Fast Moving Consumer Goods,431.8,432.1,431.05,430.65000000000003,437.75000000000006,441.90000000000003,449.00000000000006,456.0999999999999,463.20000000000005,426.50000000000006,419.40000000000003,415.25000000000006,411.0999999999999,406.95000000000005,437.45,433.2,-,-,2025-04-23T10:10:00+05:30,-,-
