symbol,sector,p,r1,s1,breaking_level,breaking_type,breakout_timestamp,status
NATIONALUM,Metals & Mining,158.86,161.59000000000003,157.14000000000001,-,-,-,-
CHOLAFIN,Financial Services,1524.6333333333332,1564.1666666666665,1486.2666666666664,-,-,-,-
DRREDDY,Healthcare,1193.3333333333333,1210.3666666666666,1181.6666666666665,-,-,-,-
VMM,Consumer Services,107.64999999999999,108.62999999999998,106.51999999999998,-,-,-,-
SHREECEM,Construction Materials,30520.0,30710.0,30210.0,-,-,-,-
TATAELXSI,Information Technology,5655.0,5742.0,5602.0,R1,Long,2025-04-29T09:45:00+05:30,Confirmed
SUPREMEIND,Capital Goods,3596.4666666666667,3714.9333333333334,3516.633333333333,-,-,-,-
TATACONSUM,Fast Moving Consumer Goods,1154.2333333333333,1163.4666666666667,1145.9666666666667,-,-,-,-
SONACOMS,Automobile and Auto Components,460.2833333333333,468.4666666666666,455.0666666666666,-,-,-,-
ATGL,Oil Gas & Consumable Fuels,613.0666666666667,626.1333333333334,603.9333333333334,-,-,-,-
NYKAA,Consumer Services,193.2733333333333,195.79666666666662,191.54666666666662,R2,Long,2025-04-29T09:55:00+05:30,Confirmed
POLICYBZR,Financial Services,1612.7666666666667,1637.9333333333334,1592.1333333333332,-,-,-,-
TRENT,Consumer Services,5192.166666666667,5269.333333333334,5132.333333333334,-,-,-,-
DMART,Consumer Services,4393.433333333333,4435.666666666667,4324.566666666667,-,-,-,-
BHARTIHEXA,Telecommunication,1584.6666666666667,1603.2333333333336,1570.4333333333334,-,-,-,-
OFSS,Information Technology,8689.333333333334,8898.666666666668,8545.666666666668,-,-,-,-
CANBK,Financial Services,97.77333333333333,99.67666666666665,96.54666666666665,-,-,-,-
DIVISLAB,Healthcare,6047.833333333333,6103.666666666666,5970.666666666666,S1,Short,2025-04-29T09:40:00+05:30,Confirmed
IDFCFIRSTB,Financial Services,65.42666666666666,67.74333333333333,64.18333333333332,-,-,-,-
COFORGE,Information Technology,7367.166666666667,7479.333333333334,7265.333333333334,-,-,-,-
GRASIM,Construction Materials,2750.133333333333,2776.9666666666662,2726.5666666666666,-,-,-,-
HDFCBANK,Financial Services,1919.4333333333334,1930.4666666666667,1909.1666666666667,-,-,-,-
HEROMOTOCO,Automobile and Auto Components,3897.7333333333336,3948.966666666667,3860.466666666667,-,-,-,-
TECHM,Information Technology,1459.5,1482.0,1439.0,-,-,-,-
IRCTC,Consumer Services,759.5499999999998,771.4999999999997,752.0999999999997,-,-,-,-
HINDALCO,Metals & Mining,627.5166666666668,632.6333333333336,623.5333333333335,-,-,-,-
TORNTPOWER,Power,1560.5333333333335,1582.666666666667,1534.866666666667,-,-,-,-
IOC,Oil Gas & Consumable Fuels,135.83,138.01000000000002,134.31000000000003,-,-,-,-
NESTLEIND,Fast Moving Consumer Goods,2403.4666666666667,2420.9333333333334,2388.5333333333333,-,-,-,-
PERSISTENT,Information Technology,5258.166666666667,5343.833333333334,5201.333333333334,-,-,-,-
KOTAKBANK,Financial Services,2215.6000000000004,2241.8000000000006,2199.4000000000005,-,-,-,-
