symbol,sector,close,high,low,p,r1,r2,r3,r4,r5,s1,s2,s3,s4,s5,opening_high,opening_low,breaking_level,breaking_type,timestamp,breakout_timestamp,status
GODREJCP,Fast Moving Consumer Goods,1232.0,1232.7,1232.0,1223.2,1235.4,1257.4,1269.6000000000001,1281.8000000000002,1294.0,1201.2,1189.0,1167.0,1145.0,1123.0,1227.4,1214.0,-,-,2025-04-22T13:25:00+05:30,-,-
UNITDSPR,Fast Moving Consumer Goods,1542.5,1546.1,1541.5,1520.1666666666667,1535.3333333333335,1553.9666666666667,1569.1333333333334,1584.3000000000002,1599.4666666666672,1501.5333333333335,1486.3666666666668,1467.7333333333336,1449.1000000000004,1430.4666666666672,1528.5,1516.7,R1,Long,2025-04-22T13:25:00+05:30,2025-04-22T11:50:00+05:30,Confirmed
LT,Construction,3271.7,3272.0,3268.2,3265.2000000000003,3305.3000000000006,3330.1000000000004,3370.2000000000007,3410.300000000001,3450.4000000000015,3240.4000000000005,3200.3,3175.5000000000005,3150.7000000000007,3125.9000000000015,3284.0,3264.3,-,-,2025-04-22T13:25:00+05:30,-,-
ALKEM,Healthcare,5013.6,5016.1,5012.0,4976.466666666666,5031.9333333333325,5063.466666666666,5118.9333333333325,5174.399999999998,5229.866666666665,4944.9333333333325,4889.466666666666,4857.9333333333325,4826.399999999998,4794.866666666665,5035.0,5001.2,R1,Long,2025-04-22T13:25:00+05:30,2025-04-22T12:30:00+05:30,Confirmed
YESBANK,Financial Services,18.84,18.85,18.83,18.983333333333334,19.186666666666667,19.553333333333335,19.756666666666668,19.96,20.163333333333334,18.616666666666667,18.413333333333334,18.046666666666667,17.68,17.313333333333333,18.98,18.67,-,-,2025-04-22T13:25:00+05:30,-,-
AMBUJACEM,Construction Materials,579.35,580.3,578.75,576.35,584.85,590.8,599.3,607.8,616.3,570.4000000000001,561.9000000000001,555.9500000000002,550.0000000000005,544.0500000000002,580.95,577.4,-,-,2025-04-22T13:25:00+05:30,-,-
ADANIPORTS,Services,1249.7,1251.4,1249.5,1237.5,1265.6,1288.1,1316.1999999999998,1344.2999999999997,1372.3999999999996,1215.0,1186.9,1164.4,1141.9,1119.4,1249.9,1233.9,-,-,2025-04-22T13:25:00+05:30,-,-
NMDC,Metals & Mining,68.14,68.17,68.07,67.29333333333334,68.67666666666668,69.52333333333334,70.90666666666668,72.29000000000002,73.67333333333335,66.44666666666667,65.06333333333333,64.21666666666667,63.369999999999976,62.52333333333334,68.65,67.92,-,-,2025-04-22T13:25:00+05:30,-,-
RECLTD,Financial Services,443.15,443.6,443.15,438.1833333333334,448.76666666666677,454.9333333333334,465.51666666666677,476.1,486.6833333333334,432.01666666666677,421.4333333333334,415.26666666666677,409.1,402.9333333333334,444.8,439.05,-,-,2025-04-22T13:25:00+05:30,-,-
ITC,Fast Moving Consumer Goods,430.2,430.7,430.2,424.48333333333335,427.4666666666667,432.08333333333337,435.0666666666667,438.05000000000007,441.0333333333333,419.8666666666667,416.8833333333333,412.26666666666665,407.64999999999986,403.0333333333333,426.0,423.55,R1,Long,2025-04-22T13:25:00+05:30,2025-04-22T12:35:00+05:30,Confirmed
