symbol,sector,p,r1,s1,breaking_level,breaking_type,breakout_timestamp,status
GODREJCP,Fast Moving Consumer Goods,1267.6333333333334,1279.8666666666668,1254.2666666666669,-,-,-,-
UNITDSPR,Fast Moving Consumer Goods,1550.5666666666668,1570.8333333333337,1527.1333333333337,-,-,-,-
LT,Construction,3279.2999999999997,3328.4999999999995,3222.8999999999996,R1,Long,2025-04-28T14:15:00+05:30,Confirmed
ALKEM,Healthcare,5087.166666666667,5184.333333333334,4936.333333333334,-,-,-,-
YESBANK,Financial Services,17.976666666666663,18.333333333333325,17.413333333333327,-,-,-,-
AMBUJACEM,Construction Materials,555.6333333333333,567.2666666666667,537.0666666666666,-,-,-,-
ADANIPORTS,Services,1205.8666666666668,1230.5333333333335,1168.3333333333335,-,-,-,-
NMDC,Metals & Mining,65.96333333333332,67.62666666666665,63.28666666666665,-,-,-,-
RECLTD,Financial Services,428.18333333333334,437.2166666666667,413.1666666666667,-,-,-,-
